[run number];awareness-frecuency;awareness-intensity;[reporter];[final];[min];[max];[mean];[total steps]
9;;;expert-index;0,196666667;0;0,196666667;0,06938966;8000
9;;;attackers-jail;13;0;24;13,14610674;8000
9;;;attackers-free;27;16;40;26,85389326;8000
9;;;mean [last-payoff] of attackers;-1,3;-4,8;4;-1,289463817;8000
9;;;mean [aspiration-payoff] of attackers;-2,379490436;-3,045810029;0,17728596;-1,757052006;8000
10;1000;0,1;[step];8000;0;8000;4000;8000
10;;;mean [digital-knowledge] of citizens;63,25859979;19,65718771;63,25859979;49,93116152;8000
10;;;cumulative-victims;20486;0;20486;10878,01775;8000
10;;;ema-success-rate;0,083676448;0;0,161734735;0,099823338;8000
10;;;vulnerability-index;0;0;0,503333333;0,044207391;8000
10;;;expert-index;0,273333333;0;0,273333333;0,065292672;8000
10;;;attackers-jail;12;0;27;12,97137858;8000
10;;;attackers-free;28;13;40;27,02862142;8000
10;;;mean [last-payoff] of attackers;-2;-4,4;3,3;-1,249543807;8000
10;;;mean [aspiration-payoff] of attackers;-1,822888857;-2,897474803;0,103043307;-1,678310196;8000
11;1000;0,2;[step];8000;0;8000;4000;8000
11;;;mean [digital-knowledge] of citizens;70,14406645;20,28293466;70,26443717;56,50190056;8000
11;;;cumulative-victims;18614;0;18614;10111,40407;8000
11;;;ema-success-rate;0,088453615;0;0,161978897;0,085851785;8000
11;;;vulnerability-index;0;0;0,496666667;0,037199517;8000
11;;;expert-index;0,53;0;0,53;0,17978461;8000
11;;;attackers-jail;14;0;26;11,9416323;8000
11;;;attackers-free;26;14;40;28,0583677;8000
11;;;mean [last-payoff] of attackers;-0,4;-4,9;2,4;-1,553168354;8000
11;;;mean [aspiration-payoff] of attackers;-1,922740302;-3,328433483;0,143962067;-2,07597897;8000
12;1000;0,2;[step];8000;0;8000;4000;8000
12;;;mean [digital-knowledge] of citizens;69,89401961;21,44748014;70,19419118;57,3275983;8000
12;;;cumulative-victims;18604;0;18604;10146,61455;8000
12;;;ema-success-rate;0,07118632;0;0,154531985;0,084594155;8000
