[run number];train-frecuency;training-intensity;training-shares;[reporter];[final];[min];[max];[mean];[total steps]
28;;;;mean [last-payoff] of attackers;-1;-5,2;3,1;-2,061904762;8000
28;;;;mean [aspiration-payoff] of attackers;-3,273018091;-4,048241153;0,01;-2,628296055;8000
29;1000;1,6;0,4;[step];8000;0;8000;4000;8000
29;;;;mean [digital-knowledge] of citizens;82,4703263;20,66417714;83,19563742;66,42044793;8000
29;;;;cumulative-victims;15929;0;15929;8926,144857;8000
29;;;;ema-success-rate;0,049307504;0;0,154736317;0,066129623;8000
29;;;;vulnerability-index;0;0;0,46;0,036504187;8000
29;;;;expert-index;0,736666667;0;0,806666667;0,52349623;8000
29;;;;attackers-jail;9;0;28;10,21734783;8000
29;;;;attackers-free;31;12;40;29,78265217;8000
29;;;;mean [last-payoff] of attackers;-2,8;-5,9;3,4;-2,121709786;8000
29;;;;mean [aspiration-payoff] of attackers;-3,069388268;-4,437117711;0,368750142;-2,690954953;8000
30;1000;1,6;0,4;[step];8000;0;8000;4000;8000
30;;;;mean [digital-knowledge] of citizens;82,42179261;19,68580486;83,66676267;66,9204951;8000
30;;;;cumulative-victims;16069;0;16069;9069,272966;8000
30;;;;ema-success-rate;0,052413178;0;0,160884652;0,066034945;8000
30;;;;vulnerability-index;0;0;0,523333333;0,037924426;8000
30;;;;expert-index;0,726666667;0;0,826666667;0,537176186;8000
30;;;;attackers-jail;7;0;25;10,05174353;8000
30;;;;attackers-free;33;15;40;29,94825647;8000
30;;;;mean [last-payoff] of attackers;-1,8;-5,4;2,8;-2,153530809;8000
30;;;;mean [aspiration-payoff] of attackers;-2,694039754;-4,357828041;0,0210895;-2,730221064;8000
